=== Argument Setting ===
src: community
tgt: news
seed: 42
train_seed: 42
model_type: bert
max_seq_length: 128
batch_size: 16
pre_epochs: 3
num_epochs: 3
AD weight: 1.0
KD weight: 1.0
temperature: 20
=== Processing datasets ===
Epoch [01/03] Step [094/100]: cls_loss=0.6430
Epoch [01/03] Step [095/100]: cls_loss=0.6864
Epoch [01/03] Step [096/100]: cls_loss=0.6756
Epoch [01/03] Step [097/100]: cls_loss=0.6933
Epoch [01/03] Step [098/100]: cls_loss=0.6843
Epoch [01/03] Step [099/100]: cls_loss=0.6862
Epoch [01/03] Step [100/100]: cls_loss=0.6918
Epoch [02/03] Step [001/100]: cls_loss=0.6949
Epoch [02/03] Step [002/100]: cls_loss=0.6739
Epoch [02/03] Step [003/100]: cls_loss=0.7200
Epoch [02/03] Step [004/100]: cls_loss=0.6915
Epoch [02/03] Step [005/100]: cls_loss=0.6884
Epoch [02/03] Step [006/100]: cls_loss=0.6749
Epoch [02/03] Step [007/100]: cls_loss=0.6963
Epoch [02/03] Step [008/100]: cls_loss=0.6796
Epoch [02/03] Step [009/100]: cls_loss=0.7019
Epoch [02/03] Step [010/100]: cls_loss=0.6694
Epoch [02/03] Step [011/100]: cls_loss=0.6610
Epoch [02/03] Step [012/100]: cls_loss=0.6437
Epoch [02/03] Step [013/100]: cls_loss=0.6875
Epoch [02/03] Step [014/100]: cls_loss=0.6653
Epoch [02/03] Step [015/100]: cls_loss=0.6631
Epoch [02/03] Step [016/100]: cls_loss=0.6606
Epoch [02/03] Step [017/100]: cls_loss=0.6276
Epoch [02/03] Step [018/100]: cls_loss=0.6365
Epoch [02/03] Step [019/100]: cls_loss=0.6966
Epoch [02/03] Step [020/100]: cls_loss=0.6683
Epoch [02/03] Step [021/100]: cls_loss=0.6332
Epoch [02/03] Step [022/100]: cls_loss=0.6660
Epoch [02/03] Step [023/100]: cls_loss=0.9863
Epoch [02/03] Step [024/100]: cls_loss=0.7530
Epoch [02/03] Step [025/100]: cls_loss=0.5998
Epoch [02/03] Step [026/100]: cls_loss=0.6069
Epoch [02/03] Step [027/100]: cls_loss=0.7260
Epoch [02/03] Step [028/100]: cls_loss=0.7501
Epoch [02/03] Step [029/100]: cls_loss=0.6648
Epoch [02/03] Step [030/100]: cls_loss=0.6608
Epoch [02/03] Step [031/100]: cls_loss=0.8558
Epoch [02/03] Step [032/100]: cls_loss=0.6525
Epoch [02/03] Step [033/100]: cls_loss=0.6267
Epoch [02/03] Step [034/100]: cls_loss=0.6586
Epoch [02/03] Step [035/100]: cls_loss=0.6571
Epoch [02/03] Step [036/100]: cls_loss=0.6499
Epoch [02/03] Step [037/100]: cls_loss=0.6684
Epoch [02/03] Step [038/100]: cls_loss=0.6800
Epoch [02/03] Step [039/100]: cls_loss=0.6590
Epoch [02/03] Step [040/100]: cls_loss=0.7173
Epoch [02/03] Step [041/100]: cls_loss=0.7047
Epoch [02/03] Step [042/100]: cls_loss=0.6023
Epoch [02/03] Step [043/100]: cls_loss=0.7482
Epoch [02/03] Step [044/100]: cls_loss=0.6875
Epoch [02/03] Step [045/100]: cls_loss=0.7095
Epoch [02/03] Step [046/100]: cls_loss=0.6552
Epoch [02/03] Step [047/100]: cls_loss=0.6498
Epoch [02/03] Step [048/100]: cls_loss=0.6083
Epoch [02/03] Step [049/100]: cls_loss=0.6889
Epoch [02/03] Step [050/100]: cls_loss=0.7065
Epoch [02/03] Step [051/100]: cls_loss=0.6337
Epoch [02/03] Step [052/100]: cls_loss=0.6068
Epoch [02/03] Step [053/100]: cls_loss=0.6798
Epoch [02/03] Step [054/100]: cls_loss=0.7047
Epoch [02/03] Step [055/100]: cls_loss=0.5783
Epoch [02/03] Step [056/100]: cls_loss=0.7099
Epoch [02/03] Step [057/100]: cls_loss=0.6471
Epoch [02/03] Step [058/100]: cls_loss=0.5835
Epoch [02/03] Step [059/100]: cls_loss=0.7033
Epoch [02/03] Step [060/100]: cls_loss=0.6947
Epoch [02/03] Step [061/100]: cls_loss=0.8209
Epoch [02/03] Step [062/100]: cls_loss=0.7741
Epoch [02/03] Step [063/100]: cls_loss=0.7467
Epoch [02/03] Step [064/100]: cls_loss=0.7777
Epoch [02/03] Step [065/100]: cls_loss=0.6218
Epoch [02/03] Step [066/100]: cls_loss=0.6429
Epoch [02/03] Step [067/100]: cls_loss=0.5489
Epoch [02/03] Step [068/100]: cls_loss=0.6661
Epoch [02/03] Step [069/100]: cls_loss=0.6496
Epoch [02/03] Step [070/100]: cls_loss=0.6393
Epoch [02/03] Step [071/100]: cls_loss=0.7066
Epoch [02/03] Step [072/100]: cls_loss=0.6695
Epoch [02/03] Step [073/100]: cls_loss=0.6031
Epoch [02/03] Step [074/100]: cls_loss=0.7556
Epoch [02/03] Step [075/100]: cls_loss=0.7609
Epoch [02/03] Step [076/100]: cls_loss=0.6390
Epoch [02/03] Step [077/100]: cls_loss=0.6939
Epoch [02/03] Step [078/100]: cls_loss=0.6654
Epoch [02/03] Step [079/100]: cls_loss=0.5992
Epoch [02/03] Step [080/100]: cls_loss=0.6934
Epoch [02/03] Step [081/100]: cls_loss=0.7055
Epoch [02/03] Step [082/100]: cls_loss=0.5946
Epoch [02/03] Step [083/100]: cls_loss=0.5857
Epoch [02/03] Step [084/100]: cls_loss=0.6403
Epoch [02/03] Step [085/100]: cls_loss=0.6511
Epoch [02/03] Step [086/100]: cls_loss=0.6344
Epoch [02/03] Step [087/100]: cls_loss=0.5973
Epoch [02/03] Step [088/100]: cls_loss=0.7278
Epoch [02/03] Step [089/100]: cls_loss=0.7513
Epoch [02/03] Step [090/100]: cls_loss=0.6570
Epoch [02/03] Step [091/100]: cls_loss=0.7081
Epoch [02/03] Step [092/100]: cls_loss=0.5793
Epoch [02/03] Step [093/100]: cls_loss=0.6707
Epoch [02/03] Step [094/100]: cls_loss=0.6656
Epoch [02/03] Step [095/100]: cls_loss=0.6265
Epoch [02/03] Step [096/100]: cls_loss=0.6333
Epoch [02/03] Step [097/100]: cls_loss=0.8160
Epoch [02/03] Step [098/100]: cls_loss=0.7285
Epoch [02/03] Step [099/100]: cls_loss=0.7733
Epoch [02/03] Step [100/100]: cls_loss=0.7382
Epoch [03/03] Step [001/100]: cls_loss=0.6939
Epoch [03/03] Step [002/100]: cls_loss=0.6641
Epoch [03/03] Step [003/100]: cls_loss=0.7043
Epoch [03/03] Step [004/100]: cls_loss=0.5846
Epoch [03/03] Step [005/100]: cls_loss=0.6998
Epoch [03/03] Step [006/100]: cls_loss=0.6098
Epoch [03/03] Step [007/100]: cls_loss=0.6277
Epoch [03/03] Step [008/100]: cls_loss=0.7454
Epoch [03/03] Step [009/100]: cls_loss=0.6345
Epoch [03/03] Step [010/100]: cls_loss=0.6527
Epoch [03/03] Step [011/100]: cls_loss=0.6630
Epoch [03/03] Step [012/100]: cls_loss=0.6370
Epoch [03/03] Step [013/100]: cls_loss=0.6279
Epoch [03/03] Step [014/100]: cls_loss=0.6892
Epoch [03/03] Step [015/100]: cls_loss=0.5922
Epoch [03/03] Step [016/100]: cls_loss=0.6639
Epoch [03/03] Step [017/100]: cls_loss=0.6408
Epoch [03/03] Step [018/100]: cls_loss=0.7236
Epoch [03/03] Step [019/100]: cls_loss=0.7711
Epoch [03/03] Step [020/100]: cls_loss=0.7401
Epoch [03/03] Step [021/100]: cls_loss=0.7575
Epoch [03/03] Step [022/100]: cls_loss=0.7106
Epoch [03/03] Step [023/100]: cls_loss=0.6219
Epoch [03/03] Step [024/100]: cls_loss=0.7161
Epoch [03/03] Step [025/100]: cls_loss=0.5945
Epoch [03/03] Step [026/100]: cls_loss=0.6273
Epoch [03/03] Step [027/100]: cls_loss=0.7468
Epoch [03/03] Step [028/100]: cls_loss=0.6285
Epoch [03/03] Step [029/100]: cls_loss=0.6650
Epoch [03/03] Step [030/100]: cls_loss=0.6465
Epoch [03/03] Step [031/100]: cls_loss=0.7138
Epoch [03/03] Step [032/100]: cls_loss=0.7171
Epoch [03/03] Step [033/100]: cls_loss=0.6516
Epoch [03/03] Step [034/100]: cls_loss=0.7282
Epoch [03/03] Step [035/100]: cls_loss=0.6440
Epoch [03/03] Step [036/100]: cls_loss=0.6325
Epoch [03/03] Step [037/100]: cls_loss=0.7348
Epoch [03/03] Step [038/100]: cls_loss=0.6286
Epoch [03/03] Step [039/100]: cls_loss=0.6861
Epoch [03/03] Step [040/100]: cls_loss=0.6532
Epoch [03/03] Step [041/100]: cls_loss=0.6049
Epoch [03/03] Step [042/100]: cls_loss=0.6574
Epoch [03/03] Step [043/100]: cls_loss=0.6372
Epoch [03/03] Step [044/100]: cls_loss=0.6676
Epoch [03/03] Step [045/100]: cls_loss=0.7098
Epoch [03/03] Step [046/100]: cls_loss=0.6741
Epoch [03/03] Step [047/100]: cls_loss=0.7119
Epoch [03/03] Step [048/100]: cls_loss=0.6549
Epoch [03/03] Step [049/100]: cls_loss=0.6529
Epoch [03/03] Step [050/100]: cls_loss=0.6801
Epoch [03/03] Step [051/100]: cls_loss=0.8035
Epoch [03/03] Step [052/100]: cls_loss=0.8077
Epoch [03/03] Step [053/100]: cls_loss=0.6983
Epoch [03/03] Step [054/100]: cls_loss=0.7049
Epoch [03/03] Step [055/100]: cls_loss=0.7118
Epoch [03/03] Step [056/100]: cls_loss=0.6485
Epoch [03/03] Step [057/100]: cls_loss=0.6591
Epoch [03/03] Step [058/100]: cls_loss=0.6831
Epoch [03/03] Step [059/100]: cls_loss=0.6805
Epoch [03/03] Step [060/100]: cls_loss=0.6469
Epoch [03/03] Step [061/100]: cls_loss=0.6561
Epoch [03/03] Step [062/100]: cls_loss=0.7124
Epoch [03/03] Step [063/100]: cls_loss=0.6805
Epoch [03/03] Step [064/100]: cls_loss=0.6415
Epoch [03/03] Step [065/100]: cls_loss=0.7280
Epoch [03/03] Step [066/100]: cls_loss=0.6803
Epoch [03/03] Step [067/100]: cls_loss=0.6671
Epoch [03/03] Step [068/100]: cls_loss=0.6891
Epoch [03/03] Step [069/100]: cls_loss=0.6672
Epoch [03/03] Step [070/100]: cls_loss=0.7341
Epoch [03/03] Step [071/100]: cls_loss=0.6189
Epoch [03/03] Step [072/100]: cls_loss=0.6540
Epoch [03/03] Step [073/100]: cls_loss=0.6097
Epoch [03/03] Step [074/100]: cls_loss=0.7035
Epoch [03/03] Step [075/100]: cls_loss=0.6344
Epoch [03/03] Step [076/100]: cls_loss=0.7203
Epoch [03/03] Step [077/100]: cls_loss=0.6910
Epoch [03/03] Step [078/100]: cls_loss=0.6990
Epoch [03/03] Step [079/100]: cls_loss=0.6264
Epoch [03/03] Step [080/100]: cls_loss=0.6134
Epoch [03/03] Step [081/100]: cls_loss=0.6809
Epoch [03/03] Step [082/100]: cls_loss=0.7499
Epoch [03/03] Step [083/100]: cls_loss=0.6277
Epoch [03/03] Step [084/100]: cls_loss=0.5793
Epoch [03/03] Step [085/100]: cls_loss=0.7045
Epoch [03/03] Step [086/100]: cls_loss=0.6868
Epoch [03/03] Step [087/100]: cls_loss=0.5817
Epoch [03/03] Step [088/100]: cls_loss=0.5418
Epoch [03/03] Step [089/100]: cls_loss=0.6578
Epoch [03/03] Step [090/100]: cls_loss=0.7829
Epoch [03/03] Step [091/100]: cls_loss=0.5997
Epoch [03/03] Step [092/100]: cls_loss=0.5915
Epoch [03/03] Step [093/100]: cls_loss=0.7089
Epoch [03/03] Step [094/100]: cls_loss=0.5953
Epoch [03/03] Step [095/100]: cls_loss=0.9152
Epoch [03/03] Step [096/100]: cls_loss=0.7978
Epoch [03/03] Step [097/100]: cls_loss=0.6832
Epoch [03/03] Step [098/100]: cls_loss=0.6835
Epoch [03/03] Step [099/100]: cls_loss=0.7582
Epoch [03/03] Step [100/100]: cls_loss=0.6598
save pretrained model to: snapshots/community/bert/42/source-encoder.pt
save pretrained model to: snapshots/community/bert/42/source-classifier.pt
=== Evaluating classifier for source domain ===
Avg Loss = 0.6692, Avg Accuracy = 0.5938
Avg Loss = 0.6732, Avg Accuracy = 0.6025
Avg Loss = 0.6746, Avg Accuracy = 0.6020
=== Training encoder for target domain ===
Epoch [01/03] Step [001/100]: acc=0.5000 g_loss=0.6882 d_loss=0.6918 kd_loss=0.0003
Epoch [01/03] Step [002/100]: acc=0.5000 g_loss=0.6885 d_loss=0.6915 kd_loss=0.0019
Epoch [01/03] Step [003/100]: acc=0.5000 g_loss=0.6873 d_loss=0.6922 kd_loss=0.0004
Epoch [01/03] Step [004/100]: acc=0.5000 g_loss=0.6848 d_loss=0.6920 kd_loss=0.0014
Epoch [01/03] Step [005/100]: acc=0.5000 g_loss=0.6826 d_loss=0.6908 kd_loss=0.0028
Epoch [01/03] Step [006/100]: acc=0.5000 g_loss=0.6804 d_loss=0.6943 kd_loss=0.0004
Epoch [01/03] Step [007/100]: acc=0.5000 g_loss=0.6815 d_loss=0.6912 kd_loss=0.0007
Epoch [01/03] Step [008/100]: acc=0.5000 g_loss=0.6777 d_loss=0.6903 kd_loss=0.0010
Epoch [01/03] Step [009/100]: acc=0.5000 g_loss=0.6722 d_loss=0.6934 kd_loss=0.0024
Epoch [01/03] Step [010/100]: acc=0.5000 g_loss=0.6711 d_loss=0.6904 kd_loss=0.0010
Epoch [01/03] Step [011/100]: acc=0.5000 g_loss=0.6658 d_loss=0.6929 kd_loss=0.0009
Epoch [01/03] Step [012/100]: acc=0.5000 g_loss=0.6619 d_loss=0.6900 kd_loss=0.0016
Epoch [01/03] Step [013/100]: acc=0.5000 g_loss=0.6533 d_loss=0.6948 kd_loss=0.0045
Epoch [01/03] Step [014/100]: acc=0.5000 g_loss=0.6543 d_loss=0.6971 kd_loss=0.0008
Epoch [01/03] Step [015/100]: acc=0.5000 g_loss=0.6556 d_loss=0.6907 kd_loss=0.0021
Epoch [01/03] Step [016/100]: acc=0.5000 g_loss=0.6502 d_loss=0.6926 kd_loss=0.0060
Epoch [01/03] Step [017/100]: acc=0.5000 g_loss=0.6509 d_loss=0.6917 kd_loss=0.0054
Epoch [01/03] Step [018/100]: acc=0.5000 g_loss=0.6500 d_loss=0.6950 kd_loss=0.0044
Epoch [01/03] Step [019/100]: acc=0.5000 g_loss=0.6505 d_loss=0.6955 kd_loss=0.0062
Epoch [01/03] Step [020/100]: acc=0.5000 g_loss=0.6593 d_loss=0.6923 kd_loss=0.0043
Epoch [01/03] Step [021/100]: acc=0.5000 g_loss=0.6590 d_loss=0.6906 kd_loss=0.0037
Epoch [01/03] Step [022/100]: acc=0.5000 g_loss=0.6566 d_loss=0.6939 kd_loss=0.0032
Epoch [01/03] Step [023/100]: acc=0.5000 g_loss=0.6466 d_loss=0.6925 kd_loss=0.0027
Epoch [01/03] Step [024/100]: acc=0.5000 g_loss=0.6304 d_loss=0.6957 kd_loss=0.0013
Epoch [01/03] Step [025/100]: acc=0.5000 g_loss=0.6337 d_loss=0.6909 kd_loss=0.0035
Epoch [01/03] Step [026/100]: acc=0.5000 g_loss=0.6253 d_loss=0.6989 kd_loss=0.0031
Epoch [01/03] Step [027/100]: acc=0.5000 g_loss=0.6299 d_loss=0.6962 kd_loss=0.0069
Epoch [01/03] Step [028/100]: acc=0.5000 g_loss=0.6320 d_loss=0.6960 kd_loss=0.0007
Epoch [01/03] Step [029/100]: acc=0.5000 g_loss=0.6378 d_loss=0.6953 kd_loss=0.0011
Epoch [01/03] Step [030/100]: acc=0.5000 g_loss=0.6405 d_loss=0.6940 kd_loss=0.0043
Epoch [01/03] Step [031/100]: acc=0.5000 g_loss=0.6437 d_loss=0.6945 kd_loss=0.0010
Epoch [01/03] Step [032/100]: acc=0.5000 g_loss=0.6501 d_loss=0.6955 kd_loss=0.0081
Epoch [01/03] Step [033/100]: acc=0.5000 g_loss=0.6593 d_loss=0.6948 kd_loss=0.0017
Epoch [01/03] Step [034/100]: acc=0.5000 g_loss=0.6697 d_loss=0.6943 kd_loss=0.0019
Epoch [01/03] Step [035/100]: acc=0.5000 g_loss=0.6818 d_loss=0.6926 kd_loss=0.0024
Epoch [01/03] Step [036/100]: acc=0.5000 g_loss=0.6910 d_loss=0.6930 kd_loss=0.0007
Epoch [01/03] Step [037/100]: acc=0.5000 g_loss=0.6988 d_loss=0.6928 kd_loss=0.0077
Epoch [01/03] Step [038/100]: acc=0.5000 g_loss=0.7059 d_loss=0.6938 kd_loss=0.0019
Epoch [01/03] Step [039/100]: acc=0.5000 g_loss=0.7087 d_loss=0.6936 kd_loss=0.0011
Epoch [01/03] Step [040/100]: acc=0.5000 g_loss=0.7160 d_loss=0.6913 kd_loss=0.0016
Epoch [01/03] Step [041/100]: acc=0.5000 g_loss=0.7158 d_loss=0.6918 kd_loss=0.0008
Epoch [01/03] Step [042/100]: acc=0.5000 g_loss=0.7113 d_loss=0.6914 kd_loss=0.0022
Epoch [01/03] Step [043/100]: acc=0.5000 g_loss=0.7052 d_loss=0.6931 kd_loss=0.0015
Epoch [01/03] Step [044/100]: acc=0.5000 g_loss=0.6997 d_loss=0.6937 kd_loss=0.0009
Epoch [01/03] Step [045/100]: acc=0.5000 g_loss=0.6958 d_loss=0.6928 kd_loss=0.0015
Epoch [01/03] Step [046/100]: acc=0.5000 g_loss=0.6926 d_loss=0.6930 kd_loss=0.0017
Epoch [01/03] Step [047/100]: acc=0.5000 g_loss=0.6909 d_loss=0.6924 kd_loss=0.0016
Epoch [01/03] Step [048/100]: acc=0.5000 g_loss=0.6883 d_loss=0.6930 kd_loss=0.0012
Epoch [01/03] Step [049/100]: acc=0.5000 g_loss=0.6873 d_loss=0.6926 kd_loss=0.0012
Epoch [01/03] Step [050/100]: acc=0.5000 g_loss=0.6863 d_loss=0.6927 kd_loss=0.0006
Epoch [01/03] Step [051/100]: acc=0.5000 g_loss=0.6837 d_loss=0.6934 kd_loss=0.0009
Epoch [01/03] Step [052/100]: acc=0.5000 g_loss=0.6835 d_loss=0.6930 kd_loss=0.0007
Epoch [01/03] Step [053/100]: acc=0.5000 g_loss=0.6834 d_loss=0.6932 kd_loss=0.0056
Epoch [01/03] Step [054/100]: acc=0.5000 g_loss=0.6824 d_loss=0.6932 kd_loss=0.0007
Epoch [01/03] Step [055/100]: acc=0.5000 g_loss=0.6807 d_loss=0.6935 kd_loss=0.0007
Epoch [01/03] Step [056/100]: acc=0.5000 g_loss=0.6827 d_loss=0.6923 kd_loss=0.0008
Epoch [01/03] Step [057/100]: acc=0.5000 g_loss=0.6814 d_loss=0.6925 kd_loss=0.0009
Epoch [01/03] Step [058/100]: acc=0.5000 g_loss=0.6795 d_loss=0.6937 kd_loss=0.0012
Epoch [01/03] Step [059/100]: acc=0.5000 g_loss=0.6799 d_loss=0.6930 kd_loss=0.0009
Epoch [01/03] Step [060/100]: acc=0.5000 g_loss=0.6788 d_loss=0.6935 kd_loss=0.0009
Epoch [01/03] Step [061/100]: acc=0.5000 g_loss=0.6771 d_loss=0.6935 kd_loss=0.0012
Epoch [01/03] Step [062/100]: acc=0.5000 g_loss=0.6775 d_loss=0.6930 kd_loss=0.0010
Epoch [01/03] Step [063/100]: acc=0.5000 g_loss=0.6778 d_loss=0.6929 kd_loss=0.0097
Epoch [01/03] Step [064/100]: acc=0.5000 g_loss=0.6768 d_loss=0.6927 kd_loss=0.0008
Epoch [01/03] Step [065/100]: acc=0.5000 g_loss=0.6759 d_loss=0.6934 kd_loss=0.0076
Epoch [01/03] Step [066/100]: acc=0.5000 g_loss=0.6760 d_loss=0.6931 kd_loss=0.0004
Epoch [01/03] Step [067/100]: acc=0.5000 g_loss=0.6765 d_loss=0.6930 kd_loss=0.0082
Epoch [01/03] Step [068/100]: acc=0.5000 g_loss=0.6769 d_loss=0.6928 kd_loss=0.0004
Epoch [01/03] Step [069/100]: acc=0.5000 g_loss=0.6762 d_loss=0.6936 kd_loss=0.0007
Epoch [01/03] Step [070/100]: acc=0.5000 g_loss=0.6774 d_loss=0.6928 kd_loss=0.0005
Epoch [01/03] Step [071/100]: acc=0.5000 g_loss=0.6763 d_loss=0.6937 kd_loss=0.0072
Epoch [01/03] Step [072/100]: acc=0.5000 g_loss=0.6777 d_loss=0.6929 kd_loss=0.0007
Epoch [01/03] Step [073/100]: acc=0.5000 g_loss=0.6774 d_loss=0.6932 kd_loss=0.0005
Epoch [01/03] Step [074/100]: acc=0.5000 g_loss=0.6778 d_loss=0.6931 kd_loss=0.0006
Epoch [01/03] Step [075/100]: acc=0.5000 g_loss=0.6780 d_loss=0.6934 kd_loss=0.0022
Epoch [01/03] Step [076/100]: acc=0.5000 g_loss=0.6786 d_loss=0.6935 kd_loss=0.0004
Epoch [01/03] Step [077/100]: acc=0.5000 g_loss=0.6800 d_loss=0.6930 kd_loss=0.0086
Epoch [01/03] Step [078/100]: acc=0.5000 g_loss=0.6804 d_loss=0.6936 kd_loss=0.0004
Epoch [01/03] Step [079/100]: acc=0.5000 g_loss=0.6819 d_loss=0.6932 kd_loss=0.0007
Epoch [01/03] Step [080/100]: acc=0.5000 g_loss=0.6820 d_loss=0.6936 kd_loss=0.0005
Epoch [01/03] Step [081/100]: acc=0.5000 g_loss=0.6835 d_loss=0.6935 kd_loss=0.0004
Epoch [01/03] Step [082/100]: acc=0.5000 g_loss=0.6856 d_loss=0.6933 kd_loss=0.0005
Epoch [01/03] Step [083/100]: acc=0.5000 g_loss=0.6860 d_loss=0.6932 kd_loss=0.0009
Epoch [01/03] Step [084/100]: acc=0.5000 g_loss=0.6877 d_loss=0.6932 kd_loss=0.0005
Epoch [01/03] Step [085/100]: acc=0.5000 g_loss=0.6891 d_loss=0.6929 kd_loss=0.0009
Epoch [01/03] Step [086/100]: acc=0.5000 g_loss=0.6893 d_loss=0.6931 kd_loss=0.0049
